,Factor1
TCGA-CR-7369-01,-2.2977631258220472
TCGA-55-A48Z-01,-1.2413260792639946
TCGA-5B-A90C-01,-2.4905721805844614
TCGA-B6-A0X7-01,-2.5386330888052573
TCGA-EW-A1P0-01,-1.072628283756998
TCGA-DE-A7U5-01,-3.2143683530879374
TCGA-XF-A8HE-01,3.4965007450674332
TCGA-QK-A6IG-01,0.6891693839615428
TCGA-22-4604-01,4.728401463459606
TCGA-BT-A42F-01,-0.31469156517938246
TCGA-Y8-A894-01,-1.9305477324126084
TCGA-S9-A6U8-01,-1.3378667270207905
TCGA-DC-5337-01,-0.46189047529129856
TCGA-CV-7261-01,1.292787855980888
TCGA-BJ-A192-01,-3.2898683061581506
TCGA-KL-8345-01,-2.64089398560083
TCGA-BP-4998-01,-2.1953700972831567
TCGA-ZH-A8Y5-01,-3.3025758654416393
TCGA-EL-A3T9-01,-3.0003325058519525
TCGA-OR-A5J2-01,-1.755118032293699
TCGA-BR-8363-01,16.47078990533786
TCGA-T2-A6X2-01,5.21153534518123
TCGA-CR-6492-01,-2.3467129174286705
TCGA-G2-A3IB-01,-0.2113930380754313
TCGA-FK-A3SB-01,-3.164718455808062
TCGA-CJ-5675-01,-2.63988938754393
TCGA-CU-A3KJ-01,0.7654218922634608
TCGA-A7-A0CH-01,-3.4561709218932606
TCGA-CM-6168-01,2.175257684405806
TCGA-QK-A6IF-01,-2.85773940959333
TCGA-E9-A2JS-01,-2.7226782681362915
TCGA-EA-A1QT-01,-0.7984825241151026
TCGA-A2-A1G6-01,-3.2680197929667294
TCGA-LI-A67I-01,-1.5373879606542282
TCGA-W4-A7U4-01,-3.4561709218932606
TCGA-4E-A92E-01,0.2940578650618561
TCGA-EL-A3ZL-01,-3.1930616171784245
TCGA-XY-A8S3-01,-3.4561709218932606
TCGA-75-7031-01,3.3930978403370418
TCGA-HT-7854-01,-3.1707739585726435
TCGA-44-A47A-01,0.8071511114629852
TCGA-B6-A0WV-01,-2.9817867561134705
TCGA-WB-A81J-01,-2.8432129352564544
TCGA-2G-AAL5-01,-3.2846371698323154
TCGA-HE-7129-01,-2.7354637740783496
TCGA-05-4398-01,16.797020496733275
TCGA-HD-7753-01,0.3855421128365857
TCGA-BA-5559-01,-1.9704134200668488
TCGA-KK-A59X-01,-2.5208975630021735
TCGA-HT-7467-01,-2.8861780723124046
TCGA-UL-AAZ6-01,-2.2083124815172264
TCGA-SP-A6QC-01,-3.4561709218932606
TCGA-56-7579-01,4.803743173435228
TCGA-67-3773-01,-0.7894103130494949
TCGA-FE-A235-01,-3.210310075200491
TCGA-EM-A3SU-01,-3.1383681103284267
TCGA-HT-7874-01,-3.067317806144499
TCGA-77-8007-01,-0.9521922012086262
TCGA-A2-A0CR-01,1.1122948538808377
TCGA-GM-A2DD-01,-2.294810141635939
TCGA-77-7463-01,7.25562643209154
TCGA-S9-A6TV-01,-1.8984022835496868
TCGA-BH-A6R9-01,-2.0214392793458393
TCGA-39-5039-01,2.7479187294069964
TCGA-UC-A7PG-01,1.6936009873447482
TCGA-DK-A3IS-01,1.6269222492360562
TCGA-BR-4363-01,8.559912030024305
TCGA-CV-6943-01,-1.515568640088252
TCGA-64-5781-01,20.06957558631328
TCGA-HN-A2OB-01,-3.2604931736940586
TCGA-CQ-7068-01,-0.5182875536581795
TCGA-VM-A8CD-01,-2.599317527160278
TCGA-97-7552-01,-2.6711445540566507
TCGA-UU-A93S-01,-0.3433808193258889
TCGA-QC-AA9N-01,-2.4627377689465146
TCGA-EM-A2CJ-01,-3.4561709218932606
TCGA-AA-3697-01,2.1362893603892825
TCGA-49-AARN-01,13.691999721461913
TCGA-CV-5444-01,-0.2794827686038802
TCGA-AR-A24P-01,-2.8474849405507348
TCGA-18-5595-01,0.9687693320650035
TCGA-EA-A97N-01,1.4236043122010906
TCGA-SX-A7SM-01,-1.3052312137558213
TCGA-DJ-A4V5-01,-3.4561709218932606
TCGA-DD-AAEI-01,0.11019083273182098
TCGA-AZ-4615-01,10.816574697301816
TCGA-06-0132-01,-3.0996129845082403
TCGA-VR-A8EO-01,-0.7252737764141254
TCGA-HE-A5NK-01,-1.8412602191075096
TCGA-ET-A25G-01,-3.0878845880663484
TCGA-HT-7616-01,-0.9124907192420593
TCGA-CR-7395-01,0.5507941355520484
TCGA-VQ-A91D-01,28.340081136942015
TCGA-BR-7196-01,-1.929864913900933
TCGA-ET-A39J-01,-3.0519298040160687
TCGA-E9-A1N9-01,-1.4714726203372275
TCGA-CN-6022-01,-1.268402526430424
TCGA-E8-A242-01,-2.9006971632821346
TCGA-DJ-A2Q5-01,-3.2009555885469223
TCGA-DW-7963-01,-2.4788846099365607
TCGA-FA-A7DS-01,0.5267606717049161
TCGA-E2-A1L9-01,-2.876079264624943
TCGA-AC-A23H-01,47.560239746762974
TCGA-EA-A3QD-01,0.21912745618169055
TCGA-E5-A4U1-01,9.16969259571705
TCGA-OE-A75W-01,-0.47682802221282816
TCGA-DX-AB3C-01,-3.291237776031792
TCGA-AR-A1AP-01,-2.3013892787026378
TCGA-KT-A7W1-01,-1.389914603743927
TCGA-44-3919-01,-2.9335428148537805
TCGA-AZ-6598-01,27.85900665269105
TCGA-A6-6653-01,12.924184019617767
TCGA-CV-6952-01,0.8835551019970602
TCGA-NH-A50V-01,1.2241493069596907
TCGA-B0-5109-01,-2.1992708852194234
TCGA-BH-A0H5-01,-0.202032973204733
TCGA-OK-A5Q2-01,-2.761293727520583
TCGA-B5-A0K9-01,9.861301239253304
TCGA-CV-A45P-01,-0.45402516317265784
TCGA-56-7221-01,5.37048858116141
TCGA-AD-6899-01,0.9987037494767143
TCGA-4G-AAZT-01,-1.3854583063704593
TCGA-VR-A8EX-01,-0.17764072623216345
TCGA-CQ-6228-01,-0.21345633391762553
TCGA-P5-A5F2-01,-2.259888372737463
TCGA-99-8032-01,6.2336719760738415
TCGA-BH-A0BW-01,0.3285191007368196
TCGA-DW-7841-01,-3.1003661845111226
TCGA-CV-A6JN-01,-1.908616797849264
TCGA-OR-A5LN-01,-3.4561709218932606
TCGA-CD-8528-01,0.25894938357974867
TCGA-H2-A2K9-01,-3.4561709218932606
TCGA-G9-7509-01,-2.262367578241526
TCGA-J4-A67R-01,-3.089864616194597
TCGA-19-2629-01,-1.2500826040064918
TCGA-GS-A9TT-01,-0.24580811812183975
TCGA-B2-4098-01,-1.7586795690223136
TCGA-D7-8575-01,-2.1731414528867674
TCGA-HT-7607-01,-2.5594476017260157
TCGA-CR-7380-01,0.5595958072093996
TCGA-43-2576-01,8.060388534805103
TCGA-DJ-A2PW-01,-2.556098988074672
TCGA-N8-A56S-01,-2.4417960461772563
TCGA-BR-8367-01,-2.0653114425277592
TCGA-C5-A1ME-01,-3.1678492016389908
TCGA-06-0238-01,-1.8888579647929382
TCGA-QU-A6IL-01,-3.125071153794647
TCGA-FB-AAQ3-01,-2.360444447323692
TCGA-3B-A9HX-01,-2.2583409877712874
TCGA-CJ-5679-01,-1.5466559402492983
TCGA-C5-A8YR-01,-1.9475396658580932
TCGA-DC-6682-01,-0.48670809042323787
TCGA-V1-A9Z7-01,-2.5846970733302577
TCGA-KL-8346-01,-3.291237776031792
TCGA-VQ-A91Q-01,-1.7145036334948975
TCGA-XF-A8HF-01,-0.8731737923947145
TCGA-KQ-A41P-01,3.116206760414503
TCGA-DD-AACT-01,-0.33430473947416983
TCGA-BL-A13I-01,0.0310029213149666
TCGA-B6-A0WZ-01,-2.163834916511046
TCGA-C8-A135-01,-2.2658802830002513
TCGA-XU-A92W-01,-3.4561709218932606
TCGA-55-8299-01,2.6216329573571513
TCGA-22-5485-01,2.5304636767247355
TCGA-EL-A4K1-01,-3.2459373910486486
TCGA-DJ-A2PX-01,-3.12881696899833
TCGA-BH-A0BJ-01,-3.063935084701233
TCGA-BH-A203-01,-0.7901663335100602
TCGA-DJ-A3VM-01,-3.0571268231686752
TCGA-A2-A1G1-01,-0.9306916411329564
TCGA-GL-A9DD-01,-1.0429740771539597
TCGA-13-A5FT-01,-1.1878246507905497
TCGA-WB-A81M-01,-3.4561709218932606
TCGA-HT-7873-01,-2.4565258595904806
TCGA-BP-5183-01,-2.797954556061956
TCGA-55-A491-01,4.475235926745147
TCGA-FY-A3NM-01,-3.4561709218932606
TCGA-06-0749-01,-2.153880830703548
TCGA-46-6025-01,1.2897229523650937
TCGA-FE-A236-01,-3.1755122259035184
TCGA-ZF-AA4W-01,5.643753055930295
TCGA-UY-A9PA-01,1.1345226527966126
TCGA-KL-8330-01,-2.9085356869839245
TCGA-ET-A3DP-01,-2.4986476838955456
TCGA-HT-7603-01,-2.9007213677655805
TCGA-AJ-A3NF-01,-0.9439621672033198
TCGA-4V-A9QT-01,-3.291237776031792
TCGA-HC-7752-01,-3.0484563545782404
TCGA-FU-A40J-01,0.7358631807997791
TCGA-B9-4116-01,-2.907414203280079
TCGA-BH-A0C7-01,-1.7148144718853866
TCGA-50-6595-01,-0.3422797475550774
TCGA-DB-A64P-01,-2.4415413512104562
TCGA-BP-4981-01,-2.226687919804298
TCGA-VS-A9V5-01,-1.2715732484228524
TCGA-E2-A14X-01,-0.9630299064705526
TCGA-G4-6311-01,3.715882280736589
TCGA-BH-A8FZ-01,-1.9521037249303548
TCGA-S3-AA17-01,-0.5960983973040849
TCGA-DF-A2L0-01,-2.1736781491966357
TCGA-CI-6619-01,-1.3423583556236514
TCGA-B7-A5TI-01,7.380942230191373
TCGA-AR-A1AR-01,-2.508318371481304
TCGA-D8-A13Z-01,-1.1141095466561235
TCGA-BA-5152-01,3.1079321244520037
TCGA-MY-A913-01,0.5872572409646238
TCGA-A4-7997-01,-1.7820999960978705
TCGA-L5-A88T-01,-0.3131224840405877
TCGA-DX-A48O-01,-1.4103722206325504
TCGA-A7-A6VX-01,-0.1576140670298976
TCGA-VS-A8Q9-01,-2.966263557883001
TCGA-DD-A39V-01,-1.6648073725093069
TCGA-EJ-A65F-01,-1.100124487783513
TCGA-95-A4VP-01,0.8147036981441674
TCGA-HC-8261-01,-3.1321813805474945
TCGA-AX-A3G3-01,2.176879830910948
TCGA-85-A512-01,2.908938243531998
TCGA-DJ-A3VI-01,-2.837055872765897
TCGA-55-8302-01,12.525772549731972
TCGA-44-4112-01,9.90782251569155
TCGA-60-2710-01,0.9758175864722429
TCGA-AF-3911-01,-1.3406472716136095
TCGA-UF-A7JJ-01,-0.09201405647893914
TCGA-05-4430-01,5.510895486042279
TCGA-AR-A255-01,-1.4919168267963894
TCGA-WB-A81F-01,-3.4561709218932606
TCGA-V4-A9EQ-01,-3.4561709218932606
TCGA-HZ-7919-01,-3.213983747978457
TCGA-CN-5366-01,-0.7051756423928986
TCGA-E5-A2PC-01,-0.34684807091257325
TCGA-V9-A7HT-01,-0.2639914865860287
TCGA-YL-A8HM-01,-2.706977536243756
TCGA-CD-A486-01,0.39082392552242945
TCGA-UY-A9PE-01,1.8312826029552776
TCGA-CQ-7071-01,4.683872526486093
TCGA-D1-A3DG-01,-0.72276001810597
TCGA-VQ-A8PX-01,5.295048344632389
TCGA-XF-A9SV-01,-1.2538605051055538
TCGA-B0-5120-01,-1.2506055058920864
TCGA-DX-A6BG-01,-2.552769879153004
TCGA-BH-A0AZ-01,-1.5072590649014357
TCGA-E7-A6MF-01,-3.267924749558023
TCGA-MM-A84U-01,-0.8517883001497139
TCGA-CV-6933-01,-0.9916499862409498
TCGA-LN-A8HZ-01,-0.13699111974134598
TCGA-DS-A0VL-01,-1.5895480168702372
TCGA-63-6202-01,7.923756612884976
TCGA-SB-A76C-01,-3.4561709218932606
TCGA-46-3767-01,0.6605390587036853
TCGA-2G-AALO-01,-3.1474796481651124
TCGA-E2-A1IH-01,-1.7592635199957107
TCGA-B0-5095-01,-1.9450962251529895
TCGA-06-0174-01,-2.5152385923849327
TCGA-CI-6622-01,0.5544551086500885
TCGA-BP-4167-01,0.36280171883814616
TCGA-HW-7486-01,-3.455920756432784
TCGA-ZP-A9D2-01,-1.3866747237865282
TCGA-BH-A18R-01,-3.280404156824533
TCGA-BA-7269-01,-0.19752392954057804
TCGA-ZF-AA56-01,-1.06412882358041
TCGA-HU-A4G3-01,-1.3155373546596338
TCGA-OR-A5KY-01,-1.8791563129400193
TCGA-NH-A6GC-01,0.7612550521791459
TCGA-DX-A48K-01,-3.270459395219408
TCGA-DD-A73B-01,-2.0535603608162143
TCGA-AC-A4ZE-01,-1.780026705899739
TCGA-P5-A5F1-01,-1.2876995960513533
TCGA-DK-AA6X-01,-1.1305328866025453
TCGA-BR-7722-01,-1.2110690251047471
TCGA-33-AAS8-01,4.843846203259009
TCGA-AR-A24H-01,-0.9474501275721388
TCGA-F4-6570-01,25.370723751382613
TCGA-E8-A432-01,-1.7351286614978993
TCGA-MZ-A5BI-01,-3.033542971424385
TCGA-DU-7011-01,-2.9007213677655805
TCGA-G4-6627-01,0.8338566190793474
TCGA-J9-A8CP-01,-2.2167585246393453
TCGA-ZF-A9R9-01,0.6489596690302207
TCGA-P8-A6RX-01,-3.1106394834357602
TCGA-UF-A7JF-01,-1.6707662911727066
