,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16
TCGA-HZ-7922-01,6.157883106391896,1.9205434617326085,5.404189445910169,-3.2050395720849068,-4.814014553498138,-5.60263369421023,4.981229179247335,0.5470409613113256,1.0054351757086266,-1.300234849427532,-0.738019907457724,-3.4249208310740986,-0.7291733998678951,1.1461835099689688,1.0512949758701737,0.6570648628559517
TCGA-DD-AACA-01,-0.9416357330199904,1.3736966340554442,3.1036435746433444,-1.4229231974164442,0.596320451839422,-1.6632801562796176,3.0658164723134127,0.10982660697010309,0.3726008495004399,-0.25830210003931137,-0.3072021399623894,0.7347703387702457,0.010741198022949872,2.0122179302555123,-1.6721951014076017,-1.71165836301091
TCGA-QG-A5YX-01,-1.1750733263674062,7.861071685767995,-1.240103290447034,-1.0301731869088022,0.9473537330438231,-0.12532316566412469,1.8876980379966826,-1.0677189048360634,0.10821155929359481,-0.4176024056679811,-0.8818482550074098,0.2339494683937245,0.06305495789601026,-0.7598106716756969,2.803045741636377,2.751231671285507
TCGA-ZG-A9MC-01,3.6484861435262683,-2.622241573970061,-3.7042480338434864,-1.5203315853013966,1.358160873375197,-2.977600008709314,0.5779535045720964,-0.6131430205471451,0.49207222401882783,-0.6577687098511824,-0.2114437414281009,0.504873222978802,-0.47653204221413,-1.0276382355867397,0.7562628393229283,0.5406909790162173
TCGA-BR-8372-01,-3.9058600531430248,5.617492384784514,2.143366168538658,-0.7832241887346573,0.7484826752932345,0.4693090158317749,0.382221847031496,0.20664584650533685,0.16927417967317232,-0.10102552387853181,-0.2508867961288274,0.11919383868299618,0.05379523109693014,-0.34067631666174103,0.28041276420386124,0.25469999234703955
TCGA-HC-7742-01,2.5337461851335723,-2.2795954366056232,3.3925267957306664,-2.1330877754070605,1.2723434106142528,-3.7222511730297807,-2.047100528866035,-0.4266463056051535,0.813911913762946,-0.6409558866390949,-15.004967458539939,0.45144461034555866,-0.7055772062155673,-0.8286340682417351,2.8417187228781806,2.4875879143836
TCGA-64-1679-01,3.9108222436156463,-2.6092553293934495,-3.6120682957771746,3.2347255067177354,-3.4078023511199116,-3.022599579446771,-3.088325409717235,-1.5476603838442584,0.8011483085943543,-3.5948987050832164,-0.39651653848337975,0.3810085417492294,0.07576019083726783,3.979727335716874,0.4807620865947012,0.4710950360423503
TCGA-CV-5976-01,2.0575066953987005,-2.877559469779189,4.058229109145005,-2.069305120889962,-3.5357494855225733,-3.7242784961851756,0.7503746561568503,0.0722751190060173,0.5991689759933431,2.0941315415076533,-0.5407993714843856,0.283031491152413,-1.1752590089978356,-3.520920689359365,0.572531167039721,0.1940124088267564
TCGA-2G-AAFZ-01,-1.0485174101676766,8.12248754467316,-1.0943126418962794,-1.0752781786913606,0.9691957515821228,-0.16579489274190232,0.45483962810150125,0.08529302255694611,0.40835085115051595,-0.43738577024358494,-0.21438677193747807,0.22311991504106984,0.061230025238250496,-0.7706650399857286,0.41589126241725255,0.4041777515167205
TCGA-LN-A4MQ-01,5.403113437270217,-0.11588653718388077,1.3097060900771103,-2.5311985734454954,-2.704804045346252,7.101647224296266,4.870968060861103,-1.014665762809569,9.130119406982857,1.607764850899962,-1.1201587836332467,-0.2592620660471445,-0.14687887659429147,1.0930031889889658,3.3048025327083956,-1.6915092311530582
TCGA-CV-6948-01,4.80557697096892,-0.3249458963032491,0.39857869820508196,-7.113770270622285,-3.3995698839843818,-4.401555912577089,-0.6480470789898806,0.1641658490170973,0.6843905820406964,-0.999161942639665,0.13959695192271937,0.46999693299743844,-0.7497479324487784,-1.0660748071376842,-1.791206438227859,-2.119134566355123
TCGA-K7-AAU7-01,1.9954151153108242,-2.8507456274335867,4.091571389633869,-2.0605355695234437,1.2295268311151564,-3.6300154727196765,0.5247037138235467,0.028324995182985393,0.4957850497791261,-0.5752607964468563,-0.413715782768889,0.4342389429208999,-0.7203617063668886,-0.7344529461573185,0.7161632048818098,0.3608901977848647
TCGA-CJ-6028-01,0.7487946152429396,1.6031752527330019,-4.666721680876586,-0.8936686745820598,-3.674057001838229,-0.9470782451464538,-3.25856130619107,-0.42916068879729957,0.3683418248736499,-0.5070633861985867,-0.34110111636586926,0.22518719780430804,0.2894806108474161,1.6254145976907117,0.14316981781269247,0.11777241906796475
TCGA-B6-A0RL-01,-0.004505689577962675,-3.5681073046335396,-0.6725704555910698,-5.899028593549762,1.0233184271718117,7.534700308538247,-3.622221988916404,-0.9303864890155988,-1.4752759190268239,2.4536307669948263,-0.5028438282717986,0.4117857586586553,-0.12961783377686692,-0.5783490259579566,0.4479195504268622,-0.4722852833429543
TCGA-CZ-5456-01,-0.9818229328779663,8.119033345814291,-1.085761506236261,-1.0902624579612379,-3.7854715504839915,-0.17005905682187916,0.6986179649151563,0.19916028806723296,0.4378455563874372,-0.5810633152926393,-0.39071731355067174,0.059974981419334925,0.04475928225465415,-0.8604459412690378,0.2862173695228267,0.2871153699972399
TCGA-EL-A3D0-01,-2.1783753956763188,-0.9081746415584923,-1.460343925263923,-0.583377813060701,0.895262358539894,-0.30075495611656894,0.4327936811167475,-0.515406800850703,0.10068668605366708,-0.08138906527738875,-0.18516598518104613,0.24296180927001224,-0.05216283809446168,-0.40571206753031475,0.42275622391251516,0.31159781357969696
TCGA-EM-A22Q-01,-2.1736969317212513,-0.898087881436855,-1.4367551765344002,-0.5870559598457278,0.860016508548358,-0.29829078566535855,-3.588807140836303,-0.4210096059365324,0.1105078221944762,-0.08348106012814764,-0.19936076139542447,0.284472584328618,-0.05286812770030391,-0.40593040860134755,0.1314724106970292,0.04383691542236014
TCGA-49-6744-01,-0.09593948294277677,-1.7122259794337022,-8.936607671910021,4.675249824076924,1.0357603588677975,-4.613663833570835,-3.451064451031514,-1.7679700065482222,-18.722007398104235,-0.08717724906294513,-0.5231186862028028,0.36737751168448485,0.4287808265201348,1.6583741896552915,-0.5470682119621965,1.3958104245233787
