,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16,Factor17,Factor18
PRUNE2,0.01701175865705773,4.1962970628686985e-08,3.706654273609744e-07,5.719347209658898e-07,-5.783835211852986e-06,7.881630516506558e-07,9.731807709690089e-05,0.006191921796309464,2.007258506920257e-06,5.8352301369010115e-06,6.04274763117184e-06,-0.01217654661992714,-0.015189315288085217,-0.038460328157087,-1.8923438084159353e-06,0.005203813036454858,-5.042977753859302e-06,-1.5953785188285497e-07
SRCAP,0.016192518050419793,2.0766801571837384e-07,2.4615934978034874e-07,1.0776840711375353e-06,-1.2795577148677583e-05,2.8303571570494756e-06,0.0013113996456189856,0.012557614336789263,4.67587286227585e-08,9.71226726483014e-07,-2.5117694018518544e-06,-0.015144564838708602,-0.01620704664480545,-0.03479149098504562,-1.3966055608984508e-06,0.008374094182653084,-2.0199302530425263e-05,-4.4598786899636564e-08
UNC79,0.017205791026089046,-7.682158874540026e-08,6.766572885472169e-07,-1.159133381500114e-06,-4.288167564857607e-06,-2.914141559931708e-06,0.0009618597141293569,0.009163267282966,7.408686238701967e-07,1.3199060794741056e-05,1.8097851901072817e-06,-0.013453621083955293,-0.017817054915646665,-0.03787338278362733,-5.026206066001514e-07,0.006892733567793303,-4.397717696772194e-06,-2.779992434619046e-07
TPTE,0.02514934241137365,2.98294597170087e-07,1.0019481797308415e-06,-1.0998205697627631e-06,-1.4560387194938595e-06,-2.5875350853867492e-06,5.224102562572476e-05,0.007206489084004863,3.4355097712566043e-07,5.067010308311824e-06,3.762472676134984e-06,-0.014337171509569547,-0.013724328806131055,-0.03708558756190551,-5.39277291952974e-08,0.004288794171012173,-9.909801067796798e-07,-5.767400752192087e-08
VPS13C,0.019201844917032716,1.9363144606975706e-08,2.597198040087446e-07,-1.0787458836799574e-06,-1.830716548495851e-06,1.2010246599931766e-06,6.820989071445537e-05,0.013997814419192551,-3.4293144620719477e-09,6.786929616434777e-06,3.0621008359839084e-07,-0.015934000088960065,-0.011083437533834917,-0.0319359333052203,-7.204670254519926e-07,0.007177081916504316,-1.0899646185439345e-05,-1.210472707213326e-07
HCN1,0.02706702872959602,7.025893048424162e-08,5.61768614972277e-07,-6.441275789002877e-06,-4.958688389887196e-07,-2.5231552813811176e-05,-4.713928193772684e-06,0.007943322859523455,6.929522151632524e-07,1.8416412065718533e-05,3.5474012139852287e-06,-0.006358537300940999,-0.006207529744294679,-0.03287078280797766,3.492778058896072e-07,0.00362625310785884,-1.567186271388182e-07,-7.140540129849523e-08
LYST,0.016523417030382643,1.4775344965241866e-07,3.283350625415552e-07,2.028792115604912e-07,1.0932797604507382e-06,-1.4715565885191303e-06,5.290830915818015e-05,0.008364108056694694,4.4148553121606747e-07,3.0873309451960987e-06,-2.5139364282719698e-06,-0.015434690248505103,-0.010646647451348645,-0.03256485533213526,-4.542218212690611e-07,0.009437517820470453,-1.2120548227641924e-05,-9.380800248549105e-08
MROH2B,0.023252002417334015,6.257333613063879e-08,3.036958930084662e-07,-6.583969802777461e-06,-3.4957234949418783e-06,2.152774022586023e-06,7.07675684918599e-05,0.009543883667486153,3.966408127025784e-07,1.1069238090122265e-06,1.2366562648329855e-05,-0.01644682253098315,-0.013533208446846075,-0.035010309502518065,-2.06291637301604e-07,0.004307211156984323,-5.124037199891313e-06,-3.522093040505869e-09
ABCA12,0.010140467142964151,5.384358978052809e-08,5.220966604899567e-07,1.6013302941324277e-06,-4.067926212947872e-05,-8.774255410403036e-07,0.0001821325365220232,0.017646622332726025,1.9041141118097458e-07,2.7622226451563562e-06,-4.3001852376674484e-07,-0.01301216149929,-0.01739357845964632,-0.03315589380988832,-1.4689282891494355e-06,0.011019314368814464,-6.161545764792163e-06,-2.2754535020507413e-07
BRCA2,0.01833009301809516,6.89364325137394e-08,6.966572759126407e-08,-1.6410849648532836e-07,-2.2577410918215263e-06,1.2608369803024847e-06,0.00024435199791490085,0.011117982534252837,5.202294600799008e-10,1.6725860815448436e-05,-3.1236090637317954e-06,-0.016234397342810288,-0.01166474590768458,-0.030993312715984732,-3.8042983606591876e-07,0.010715684244355173,-9.12863707771403e-06,-1.4302008174659043e-07
