,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16,Factor17,Factor18
HRG,-0.01938624774204545,-0.027104369115958604,0.03283276102077885,0.12690812077395605,-0.019025515512606155,0.010124278490629933,-0.009873488637017843,0.01618899220081781,-0.013772186607411696,0.003965231265735486,0.17911806552100862,0.04351097461111175,-0.050980640782032946,0.030302078915749233,-0.0048801235153189335,0.03322031609633659,-0.01902247557343441,-0.0050122017140101565
CNTN1,-0.016162249791183827,0.004010383199375997,-0.022088766435800173,-0.10871460339197712,0.09357250140183294,-0.05382310528726417,0.06812230989262964,0.07108176231988843,-0.007479714230922787,0.01859557407269875,0.11732997719966695,-0.04937469410940594,0.06791503451673371,0.06047277367838401,0.037161062041434406,-0.0449131838169413,0.02220873445716801,0.010123035035438557
CREB3L3,-0.03732178401795615,-0.01995684144886699,0.019739665402057672,0.16209428322625183,-0.09046564014285534,-0.02304196426599861,-0.003416242999248427,0.037730832956640196,0.01219573604632801,0.0055048419322878146,0.07697080223807169,0.01880974811444342,-7.165107116629991e-05,0.018678497347908284,0.0015882169889850292,9.731968319251071e-05,-0.0012963073032103698,0.003244614366703235
POSTN,0.09124536866445448,0.009439750095468548,0.02321477069061104,-0.03644760547593693,0.05197183709588432,-0.012712225252520186,0.06401783969880123,-0.050188794845106154,0.08026853858367636,0.0014679693390100305,-0.055097262024337755,0.03339728118363375,0.006530803764159954,0.03525348914014393,-0.13518256268596832,0.05015658581497345,-0.02895717952904199,0.004212680918868896
SLC28A1,-0.03277067525440493,-0.020427889439433362,-0.008192203289161438,0.15077317712646748,-0.10224692543175284,-0.00038309925030937384,-0.043694758655970244,-0.015550159685190947,0.04416172122235616,0.007113492319992931,0.012511299755874887,-0.09139422116280663,0.14271895116045927,0.025442689645789312,0.012517247852625911,0.017402849128305108,0.0006158487548480185,0.007758193877276432
AMN,0.07128375528261499,0.02429728798746449,0.005843768145444712,0.10825456241415841,-0.14712907495718788,-0.03654271799797708,0.013930849269620937,0.084599724742349,0.0563857539591521,0.023445325246418628,-0.08508141156142189,0.010594683826564961,0.09910018988683518,-0.0462801221265806,0.005598161678381399,-0.007495330960712792,0.004874055042846183,-0.0009610583720602443
PROM2,0.1362254980317871,0.016816792611937678,0.0023500174527426245,-0.11767802540144387,0.07552919837000469,-0.003423968557276476,0.05086238699527211,0.01848551735734621,-0.02629207945847328,-0.02579990256687257,-0.06566629594090725,0.1358331943633198,0.07824599004447326,0.005914405123700513,-0.09461876459821891,0.03759402944867479,-0.007458928841509879,-0.005742080204835706
DUOXA1,0.09452033283236805,0.02786298919277485,-0.028176870768626912,-0.11436997792505546,0.0642134513860016,0.00025389814712300086,-0.06264787883374492,0.05074795007105955,0.030032987238321485,-0.006684421467107362,-0.058481576756223216,0.20501100292644195,0.03468605009347232,-0.019017077312826206,0.03867351191850814,-0.04154068843459865,0.0656809614748463,0.0012951640682343562
LOC124900418,0.06491106551195544,0.008714110145665737,0.0158806775115008,-0.006701493765440989,-0.039971793252864096,-0.024498107452550245,0.028102406369822964,0.10746937662738063,-0.027072778806398388,0.026424859728894915,-0.08357239558654035,0.038178926854294776,-0.015097503952681833,0.0003483055087901014,-0.05903087178808682,0.000520226118918891,-0.010856409047742968,0.0017602680411482878
CPB1,-0.024978608666614163,-0.007088002886517935,0.01087243244606146,-0.02297074728901156,0.051916315901195845,0.006108182062042952,0.060197340640989284,-0.04155313622753504,-0.047880921929183654,-0.01249446337339244,0.028636244780468306,0.009766879312535335,-0.001641515219815559,0.04175722634106981,-0.09147613498628734,0.02781872629930956,-0.030776985789299247,-0.0023658982632546776
SERPINB13,0.1015224449600852,0.028910293365532826,-0.03248193247547348,-0.05178020006646006,-0.010060247990140393,-0.003072171925620676,-0.1219245800496348,0.10253387719660015,0.03508980178136426,0.03523650991708671,0.013361779762370928,0.029420520348465803,0.04876802829881094,0.0033687089677888883,-0.003864759808747841,0.009054472336049299,0.004892487494400381,0.00977472415433419
GDA,-0.005856195189361857,0.004435529605692606,-0.018384981672118546,0.09169016091311802,-0.11961425889321599,-0.037235975713445994,0.052784472903691634,0.09254621930784897,0.005263808525079888,0.03149796074158122,-0.01972133683726931,-0.03674375858693458,0.08257034969015546,0.010865826708859792,0.00647540020227363,-0.04733651846691177,0.022001837661157483,0.010392671541066678
KCNJ15,0.06711637392384975,0.008658876062290969,-0.02974721244672466,-0.0034702658436559864,-0.048931933421473006,0.003755254327340846,-0.07516616624548078,-0.04435010420017755,0.0969707441891113,-0.0019323487648324731,-0.14265231356336272,0.11012976755882639,0.14499614828673285,-0.009363429005976026,-0.0031484656421917195,-0.032769890170127755,0.06602796739786551,0.010048883336855783
