,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16
SST,0.2187701513196112,0.12935567312799207,-0.12922687745210132,-0.006960563233948674,0.004078003049158442,-0.012003548821548983,7.263274194963663e-06,0.002210944659629559,-1.2865275407987177e-05,-5.286647072173833e-06,-0.0114214328434671,-5.113619993435967e-07,5.886288936280838e-05,-1.132544735472088e-06,1.579767902503228e-05,-0.0013099578093215478
ECT2,0.21605107459646766,0.1256030566497194,-0.11536373043686202,-9.557048032728644e-05,3.804051006776484e-06,-0.003427731496821264,-1.0023550055793825e-06,0.001207220896109962,2.302412872566008e-05,1.630423200329597e-05,0.0358153032147996,-4.673014749014257e-06,0.00016698173502888657,-1.200209654953673e-06,-3.197605006018196e-05,-0.0004161649714215026
SNORD2|ENSG00000238942.1,0.21971978754454768,0.12962316478175004,-0.13105998396778865,-0.007591634314249203,3.0386485661050628e-05,-0.010110656539913896,3.0945723573299307e-06,0.0018315040824453137,3.319260208757063e-06,-3.0362936699781045e-05,-0.0001687641474540624,2.3419836848049014e-08,2.5549062856738137e-05,-1.6006023708583308e-06,-2.501730227968624e-06,-0.0005119790672164832
CHRD,0.2231994603452296,0.1296406010819472,-0.12928493308380837,-0.005672673833593244,-4.2917530556017105e-07,-0.006319092211893734,3.9293093620179776e-08,0.0022287697045854375,-1.7938804391774042e-05,-0.0061911487918812624,0.026120854847929257,-3.0384310388065415e-07,-5.164686861448315e-06,-7.672929485413116e-07,9.15186107635634e-05,6.360291731388842e-07
DNAJB11,0.22052702012934486,0.12919682456273957,-0.13099013888995187,-0.007155087881435697,5.694974075450233e-06,-0.009917408728681763,6.798938898042506e-07,0.0006865070365277736,3.0131353398137526e-06,-0.0004355556873916222,5.386954491173136e-05,4.948942285017733e-07,2.743958725605689e-05,-8.559709003510747e-06,-2.6162025698879166e-06,-0.0015847453288351059
HRG,0.21978620753823452,0.1294133210479233,-0.13102415219195582,-0.007194143846475324,4.966726160650412e-06,-0.01079262304984789,9.868221507155816e-07,0.0013860626992727384,3.2754722820971143e-06,-7.553561743425746e-05,-3.816486176650163e-06,3.1914822875871476e-06,2.831413349409033e-05,-1.4626967652262128e-05,-3.9593235882944735e-06,-0.00029240879459898754
RTP2,0.21863227583755265,0.1294496733201197,-0.12995868608687985,-0.0071458899794003125,0.00445067526460046,-0.01154753424479751,8.373688400825607e-06,0.0020694798029413657,-6.501837034595181e-06,-2.1332089321437114e-06,-0.01219096344845709,-6.806274365977003e-07,4.1936995073988634e-05,-1.8099341647319445e-06,4.209554372396067e-05,-0.0005927365961082196
PP13439,0.21582154348415813,0.12400003197075589,-0.11496625502686426,-2.414432444913418e-05,2.300392037833462e-06,-0.0025978510296123507,1.5468638944508355e-08,0.004815688402953775,6.617532386892179e-05,7.825667989523744e-05,0.0370160549331565,-1.4023993880282143e-06,0.0001718841494540737,5.711923945468669e-06,-1.1946939021568612e-05,-0.0001898684701854855
TMEM212,0.21582154348415813,0.12400003197075589,-0.11496625502686426,-2.414432444913418e-05,2.300392037833462e-06,-0.0025978510296123507,1.5468638944508355e-08,0.004815688402953775,6.617532386892179e-05,7.825667989523744e-05,0.0370160549331565,-1.4023993880282143e-06,0.0001718841494540737,5.711923945468669e-06,-1.1946939021568612e-05,-0.0001898684701854855
snoU13|ENSG00000238359.1,0.21582154348415813,0.12400003197075589,-0.11496625502686426,-2.414432444913418e-05,2.300392037833462e-06,-0.0025978510296123507,1.5468638944508355e-08,0.004815688402953775,6.617532386892179e-05,7.825667989523744e-05,0.0370160549331565,-1.4023993880282143e-06,0.0001718841494540737,5.711923945468669e-06,-1.1946939021568612e-05,-0.0001898684701854855
THPO,0.22302172121449962,0.12982733801402688,-0.12967257473225713,-0.006093027927991333,-3.021994855909161e-07,-0.006532894709290923,9.093724467545183e-08,0.001961215233328491,-1.6251720616913473e-05,-0.005722660915617888,0.025956324482863436,-5.476504599822179e-06,-4.2862778963114805e-06,-2.8643037224994928e-06,0.00014781758730124142,6.821135394473096e-06
ABCF3,0.22332346257092917,0.13003579618622713,-0.12941060714726663,-0.005413459672208602,3.0601344656602454e-09,-0.006476968414322489,-9.645943902325343e-08,0.002516641392670082,-4.536102484898734e-06,-0.005257131208658406,0.02682855127223877,-2.854307608403249e-06,-6.701226833536504e-06,-5.03046478056539e-06,0.0006652490720418506,4.096351619974901e-05
RN7SL141P,0.21576919016548204,0.12456747383441177,-0.11459145803070638,8.701341659964152e-06,5.858771485905201e-06,-0.0039292465700541505,-5.112185500848114e-07,0.004336257414883391,3.462900974974756e-05,5.003812074118888e-05,0.036548294828483555,-2.588730449029474e-06,5.587011139352467e-05,8.660478344693427e-07,-5.962198491569973e-06,-0.0003862509423030593
SPATA16,0.21599267443325662,0.1255315779299584,-0.11646970065837457,-6.687215610865056e-05,2.638675837507026e-06,-0.002924997225650555,-5.064078157233776e-07,0.003771730212815133,1.1876548963336626e-05,1.496797661184213e-05,0.03527758631772582,-6.176623947149804e-06,0.0016666055374020398,-5.142961904104941e-07,-3.437011507900301e-05,-0.0009089660989800942
POLR2H,0.22301506018763245,0.12996056051381288,-0.1296630103038871,-0.005982680262819645,-5.743246504579638e-07,-0.006556376075267985,1.9300025117799895e-08,0.001972324359534581,-1.4977343717064965e-05,-0.005504948225033852,0.026241650580376433,-5.2511646585372714e-06,-4.295433620593794e-06,-3.8125422531705977e-06,0.00017292295969086746,6.80328035464395e-06
IFNA1,-0.03348503784524464,-1.1756343506375434e-05,1.2548938190450422e-05,4.4216788836988784e-05,0.28014979878961327,2.4642416278011843e-05,-1.246684384955507e-07,-7.095912245383672e-06,-9.970554683427295e-06,-1.7824708865950908e-06,-6.983541688240639e-06,0.2230307762500001,2.2510335961715983e-05,-1.913568835505923e-06,-4.5952949438335456e-05,5.225082451596321e-05
SLC2A2,0.21450489259712796,0.12343538119539953,-0.11366943665038855,-3.50428528599308e-05,-5.261918345192517e-07,-0.001427558246661071,2.55181439397402e-07,0.0032544575421813,3.019908499188617e-05,0.0004964422420982381,0.03731309338224746,-5.132020082978223e-06,0.002014785192873703,1.3938769836504188e-06,3.497007027299023e-05,-0.00014473730679148475
SNORA72|ENSG00000200355.1,0.21614447636085007,0.12550828117666865,-0.1156578597508874,-0.00013333994871561798,2.5982139894579507e-06,-0.0030481408159892327,-2.0044543600863136e-06,0.0012090083136115527,1.9985655446703717e-05,1.554303347757006e-05,0.03588675884439366,-2.472805447779897e-06,0.00045658853960627255,-9.942849320753604e-07,-2.894436941840995e-05,-0.0003193072010373227
AHSG,0.22027238632573024,0.1292388949283802,-0.1313163411031427,-0.007295228227176074,7.418148603332825e-06,-0.010593468798314663,6.951838759628481e-07,0.0012744765057404344,1.82570705083408e-06,-0.00019595703839553214,-4.3920083956304236e-05,2.5433769075798736e-07,4.633870069811713e-05,-1.173109629669045e-05,2.529636790193306e-07,-0.002352283223770617
