gene,modality,total_contrib,max_contrib,n_factors,directions,role,pathway,tx_mechanism,actionable
TMEM40,expression,0.02560596289913196,0.02560596289913196,1,up,Unknown,Unknown,Under investigation,Partial
TP63,expression,0.025507849238627436,0.025507849238627436,1,up,Unknown,Squamous differentiation,Under investigation,Partial
PKP3,expression,0.025445719791528792,0.025445719791528792,1,up,Unknown,Unknown,Under investigation,Partial
HCAR2,expression,0.025300859115962516,0.025300859115962516,1,up,Unknown,Unknown,Under investigation,Partial
TRIM29,expression,0.025283352271969102,0.025283352271969102,1,up,Unknown,Unknown,Under investigation,Partial
S100A2,expression,0.025244324691208707,0.025244324691208707,1,up,Unknown,Unknown,Under investigation,Partial
S100A9,expression,0.025096188318466762,0.025096188318466762,1,up,Unknown,Unknown,Under investigation,Partial
PKP1,expression,0.02488849496359382,0.02488849496359382,1,up,Unknown,Unknown,Under investigation,Partial
KRT5,expression,0.0247748019642229,0.0247748019642229,1,up,Unknown,Epithelial differentiation,Squamous lineage; indirect via p63/EGFR axis.,Partial
TACSTD2,expression,0.02470371757446457,0.02470371757446457,1,up,Unknown,Unknown,Under investigation,Partial
CSMD3,expression,0.024690965513755773,0.015798640293391192,3,"down,up",Unknown,Unknown,Under investigation,Partial
GJB3,expression,0.024535965458961428,0.024535965458961428,1,up,Unknown,Unknown,Under investigation,Partial
DUOXA1,expression,0.024509712996467675,0.024509712996467675,1,up,Unknown,Unknown,Under investigation,Partial
ANXA8,expression,0.02449947499262267,0.02449947499262267,1,up,Unknown,Unknown,Under investigation,Partial
LINC02967,expression,0.024395899619402615,0.024395899619402615,1,up,Unknown,Unknown,Under investigation,Partial
VSIG2,expression,0.024086271472763054,0.024086271472763054,1,up,Unknown,Unknown,Under investigation,Partial
SCGB2A2,expression,0.02366133722269956,0.02366133722269956,1,down,Unknown,Unknown,Under investigation,Partial
SFTA3,expression,0.02261007129682977,0.02261007129682977,1,up,Unknown,Unknown,Under investigation,Partial
LRP1B,expression,0.02258666310644764,0.011515775960934298,4,"up,down",Unknown,Unknown,Under investigation,Partial
CLDN1,expression,0.022559957598201296,0.022559957598201296,1,up,Unknown,Unknown,Under investigation,Partial
TG,expression,0.021893515671366322,0.021893515671366322,1,up,Unknown,Unknown,Under investigation,Partial
FLG,expression,0.021872774476406683,0.00882342224867253,4,"up,down",Unknown,Unknown,Under investigation,Partial
BRAF,expression,0.021386886782001294,0.01164309973931701,4,"down,up",Oncogene,RAS-MAPK,Vemurafenib/dabrafenib (V600E); type II inhibitors for other mutations.,Yes
TMPRSS6,expression,0.021020632857215723,0.021020632857215723,1,up,Unknown,Unknown,Under investigation,Partial
ESRP2,expression,0.021020528289925837,0.021020528289925837,1,up,Unknown,Unknown,Under investigation,Partial
