gene,abs_weight,raw_weight,direction,modality,factor,factor_avg_shap,gene_shap_contrib
ANXA8,0.1508737805680501,0.1508737805680501,up,expression,Factor1,0.16238391389398787,0.02449947499262267
TP53,0.2820768727171567,0.2820768727171567,up,expression,Factor1,0.16238391389398787,0.04580474661078815
TTN,0.1591315265111503,0.1591315265111503,up,expression,Factor1,0.16238391389398787,0.02584040009880548
CSMD3,0.097291904810875,0.097291904810875,up,expression,Factor1,0.16238391389398787,0.015798640293391192
MUC16,0.084313703970244,0.084313703970244,up,expression,Factor1,0.16238391389398787,0.013691189245587286
LRP1B,0.0709169749933011,0.0709169749933011,up,expression,Factor1,0.16238391389398787,0.011515775960934298
RYR2,0.0677861505381331,0.0677861505381331,up,expression,Factor1,0.16238391389398787,0.011007380432189105
USH2A,0.0647200055092241,0.0647200055092241,up,expression,Factor1,0.16238391389398787,0.010509487801828268
SYNE1,0.0627341924546638,0.0627341924546638,up,expression,Factor1,0.16238391389398787,0.01018702370576699
IDH1,0.0594211026020401,-0.0594211026020401,down,expression,Factor1,0.16238391389398787,0.009649031208415499
ZFHX4,0.0570503027734873,0.0570503027734873,up,expression,Factor1,0.16238391389398787,0.0092640514531959
FLG,0.0529445890056286,0.0529445890056286,up,expression,Factor1,0.16238391389398787,0.008597349582242573
KMT2D,0.0495224418413118,0.0495224418413118,up,expression,Factor1,0.16238391389398787,0.008041647931779597
XIRP2,0.0460506986103233,0.0460506986103233,up,expression,Factor1,0.16238391389398787,0.007477892677896726
FAM135B,0.045705369459084,0.045705369459084,up,expression,Factor1,0.16238391389398787,0.0074218167787368
PKHD1L1,0.0431090572410631,0.0431090572410631,up,expression,Factor1,0.16238391389398787,0.0070002174390837845
SPTA1,0.0425510683042994,0.0425510683042994,up,expression,Factor1,0.16238391389398787,0.006909609011622551
PCLO,0.042354550252048,0.042354550252048,up,expression,Factor1,0.16238391389398787,0.006877697641147144
PIK3CA,0.0420175716750092,0.0420175716750092,up,expression,Factor1,0.16238391389398787,0.006822977740909158
CDKN2A,0.0409737610311458,0.0409737610311458,up,expression,Factor1,0.16238391389398787,0.0066534796831944154
FAT1,0.0404679729789893,0.0404679729789893,up,expression,Factor1,0.16238391389398787,0.006571347839684426
SI,0.0402012340038034,0.0402012340038034,up,expression,Factor1,0.16238391389398787,0.006528033720905668
NAV3,0.0401719588796501,0.0401719588796501,up,expression,Factor1,0.16238391389398787,0.006523279911665924
PAPPA2,0.0391514426008323,0.0391514426008323,up,expression,Factor1,0.16238391389398787,0.0063575644841189615
RYR3,0.0389163501633334,0.0389163501633334,up,expression,Factor1,0.16238391389398787,0.006319389253991011
DMD,0.0387821221164986,0.0387821221164986,up,expression,Factor1,0.16238391389398787,0.006297592778391631
ABCF3,0.2390539298033324,0.2390539298033324,up,expression,Factor1,0.16238391389398787,0.03881851275320375
PSMD2,0.2389055755457787,0.2389055755457787,up,expression,Factor1,0.16238391389398787,0.03879442240821934
CAMK2N2,0.2389046480268085,0.2389046480268085,up,expression,Factor1,0.16238391389398787,0.038794271794058754
ECE2,0.2388826419846218,0.2388826419846218,up,expression,Factor1,0.16238391389398787,0.03879069836679916
B3GNT5,0.2388784740505823,0.2388784740505823,up,expression,Factor1,0.16238391389398787,0.038790021561356976
SNORD66|ENSG00000212158.1,0.2388772024958426,0.2388772024958426,up,expression,Factor1,0.16238391389398787,0.03878981508132161
VWA5B2,0.2388724434918125,0.2388724434918125,up,expression,Factor1,0.16238391389398787,0.03878904229562097
MIR1224,0.2388724434918125,0.2388724434918125,up,expression,Factor1,0.16238391389398787,0.03878904229562097
ALG3,0.2388724434918125,0.2388724434918125,up,expression,Factor1,0.16238391389398787,0.03878904229562097
RNA5SP151,0.2388526097825899,0.2388526097825899,up,expression,Factor1,0.16238391389398787,0.038785821620290366
DCUN1D1,0.2387852948181391,0.2387852948181391,up,expression,Factor1,0.16238391389398787,0.03877489075289921
CHRD,0.2387595084375148,0.2387595084375148,up,expression,Factor1,0.16238391389398787,0.03877070345948828
MCCC1,0.2387237437966765,0.2387237437966765,up,expression,Factor1,0.16238391389398787,0.03876489585712994
FAM131A,0.2387218302473325,0.2387218302473325,up,expression,Factor1,0.16238391389398787,0.03876458512749803
EIF4G1,0.2387218302473325,0.2387218302473325,up,expression,Factor1,0.16238391389398787,0.03876458512749803
CLCN2,0.2386641053231496,0.2386641053231496,up,expression,Factor1,0.16238391389398787,0.038755211528379976
POLR2H,0.2386538516732416,0.2386538516732416,up,expression,Factor1,0.16238391389398787,0.03875354650057622
VPS8,0.2386400226150344,0.2386400226150344,up,expression,Factor1,0.16238391389398787,0.038751300883979066
LAMP3,0.2386283133668482,0.2386283133668482,up,expression,Factor1,0.16238391389398787,0.03874939949042983
EHHADH,0.238619276214537,0.238619276214537,up,expression,Factor1,0.16238391389398787,0.03874793200226708
THPO,0.2386053279473895,0.2386053279473895,up,expression,Factor1,0.16238391389398787,0.03874566702805564
ATP11B,0.2385898998712763,0.2385898998712763,up,expression,Factor1,0.16238391389398787,0.03874316175667252
SNORA63|ENSG00000201229.1,0.2384902776677643,0.2384902776677643,up,expression,Factor1,0.16238391389398787,0.0387269847133555
YEATS2,0.2384902776677643,0.2384902776677643,up,expression,Factor1,0.16238391389398787,0.0387269847133555
MAP6D1,0.2384902776677643,0.2384902776677643,up,expression,Factor1,0.16238391389398787,0.0387269847133555
SCGB2A2,0.1975986459833548,-0.1975986459833548,down,expression,Factor15,0.11974442995268668,0.02366133722269956
LRRC15,0.1625782360054941,-0.1625782360054941,down,expression,Factor15,0.11974442995268668,0.019467838193191252
CA12,0.1613155139526518,-0.1613155139526518,down,expression,Factor15,0.11974442995268668,0.019316634260784966
PRLR,0.1573774486265604,-0.1573774486265604,down,expression,Factor15,0.11974442995268668,0.018845072873195708
