,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16,Factor17,Factor18
KRT6B,0.17421651416476996,-0.15557864666467408,-0.15933658660526276,0.10057060845800729,0.000412152177694807,-2.0715141429981317e-05,-0.021944519574215466,0.026927159332210272,0.07238443488438828,-0.08401951054144607,-1.3339214563916158e-05,-0.034020903765147596,-0.0679267212307873,-0.06878211585188625,-0.06330967526788689,0.0776130896931395,-0.019837999326761824,-0.028095042107651187
PIGR,0.15187116590599714,0.17504001203024314,0.10266509110814409,0.10592489677894507,-0.02902228668051296,-0.05003731513714749,0.03176959237963092,0.10668974494475883,-0.018213418602416376,0.07793452212873699,0.002057934347499239,-0.014029753053568302,-0.05306455185600584,-0.0034101136334242286,-0.024009243443121425,0.0909730877061315,0.0490192593913681,-0.037713971885840254
SLC34A2,0.09476270185068071,0.0418734523210734,0.07866452950296839,-0.07687637715153828,0.14732234427884328,-0.02729375360098349,0.21117671271272354,0.10282832859833166,0.039563322449689825,0.06723813565809329,0.09116873535258391,-0.035019967716544365,0.05780816328671433,-0.0576510895191998,-0.07700318381817077,0.07362673175254637,0.01451200095666383,-0.008186500341970531
XIST,3.0996678400155705e-05,-0.01599526457025236,0.034296441095061976,-0.06359608200041514,0.04954268401386574,0.018340048878305377,0.030928642760454254,-0.05939866756373855,0.15853974279073493,-0.016621672176456166,-0.003693849904372477,0.07474926971474243,0.0335724308738132,-0.04167727231510426,-0.02561015314879888,0.06079272315931734,0.07912336268525752,-0.005987320983862578
PI3,0.2173065664684577,-0.08075600903663015,-0.10254641966349552,0.1710894117489627,-0.04831769858608922,-0.05747271423099622,-0.027156748581960783,0.018432447711025295,-0.030838899112591675,-0.029302601884699384,-0.0002309487451004198,-0.05892763503090452,0.04360770539216411,-6.356950963362716e-05,-0.12716186312393338,0.03684073870224945,0.03554438786449245,-0.05836629402030262
GFAP,-0.2630111730239897,-0.10601957884471168,0.07438695663076325,0.11661805709944592,0.05648023981039673,-0.026728501728802378,0.040227771194725,0.06190804576418258,0.05469772240986773,0.017231784160677065,-0.0962450464871726,-0.04561901771568086,5.1853315175063544e-05,0.04730709308358873,-0.012749778143056837,-0.015164358528210077,0.014895417655298587,-0.025960873519655682
KRT13,0.1489726864086359,-0.16151885171365515,-0.1633621399163842,0.06941441499939169,-0.0365162377342964,0.015367819294729556,0.03681665548173919,0.06992746043775908,-0.07718502914240978,-4.1035436838743383e-05,0.01991199422417479,0.05226287512017305,-0.0008955658590772777,0.09769826896715988,0.11638170627791845,0.02987838853728527,0.03664842488632321,-0.015131727301466086
S100P,0.2339193819356383,-0.00021577677779226754,0.040317251160216984,0.13947348781661412,-0.1252552575692715,0.019340546401916032,0.00010693785323986572,-0.03871047794765651,0.06693494775522761,0.09014504603696373,0.012296540278037307,0.036869274446311766,-0.013996702350628798,0.10121328978794548,0.02558226884748991,-0.09125943262325321,0.039119505093931084,-0.01579735461799187
CEACAM5,0.18139687241176736,0.010534485563328252,0.0628464353980119,0.19161431526213768,-0.061916036021431115,-0.07959941151932894,0.01820905170703623,-0.08521543720920184,0.04065892895657391,0.05178241569548,0.031007257336045754,-0.017049707131041914,-0.13994952518394213,-0.0833356627634005,0.03702409525181299,0.019337413656414854,0.024724192807578056,-0.043155113289036415
KRT19,0.2681612479079251,-0.009471138694322893,0.076090379522434,-0.033321550748094834,-0.040763231349442944,-0.05066418733568791,0.0370361741601861,0.04467961067256492,0.08907203886421693,-0.003738586912488008,0.08329410736499542,0.12844267674607332,0.05187903765051656,0.02522804163442595,0.0294240068907707,-0.024283467440708275,0.008910879538300833,0.10764772245800826
OLFM4,0.09290330772183676,0.03905426023615673,0.12388252972044515,0.1532771113959273,-0.14676098031543755,-0.052088503192915594,-0.040907913895042045,-0.028320777053504238,-0.025297458822559366,-0.07771469599551903,-0.025229212367391386,-0.03730419127193405,0.025518750084471985,0.06725944451780602,-0.01876437831555178,0.0980781295825949,0.00501743719843343,0.01206461119188597
CALML3,0.13457677168544746,-0.18918792914997254,-0.16426765629520318,0.019789057986054834,-0.018044834050774623,0.03240368095801643,-0.03134680067260804,0.0328431641550305,-0.013882867519561744,-0.04271704800963104,-9.858846614170529e-05,0.022082649866702695,-0.05143819661977892,-0.07019140686965313,0.07618434279276426,0.08706287789050661,0.041512247930913314,0.07789091567484986
MUC13,0.10834086331048677,0.1813548736299548,0.09189892254985134,0.18181387373830743,-0.09680808689010309,-0.06498107391471668,-1.2237872936957982e-05,-0.04971691706524474,-0.04139485080589236,-0.00026309719558720383,0.002016543051605348,-0.02074764246575452,4.854138314936292e-05,-0.025461720855844177,-0.04517063179211928,0.04887644153271597,-0.0004247550964783443,-0.015143186563836146
SPDEF,0.13698982564927567,-4.2584001689517244e-05,0.2206463841668171,-0.012112036264375374,-0.18753373592878897,0.0874943135837179,-0.024622968986041025,0.06640081613304492,0.05686736122773976,0.09308283819182085,-0.0020401650558838145,-5.8668722952610295e-05,-0.05118126313398164,-0.0022619774644541957,-0.05529920186044874,0.04345439167137151,0.03285256886299363,-0.00028768942602679136
SOX2,-0.04561131710896147,-0.19509595000189928,-0.012119707608217843,0.19017158115411417,7.140204146580764e-05,0.017110007255273698,0.024256511944077536,0.07218868104356384,-0.04287652162937442,0.09199706913738703,-0.025791234688596853,-0.002207608380224054,0.01965198682764645,-0.08626248539305247,0.09208044980298444,-0.0013904320768242306,0.029858571018390765,-0.034526928401870056
SPINK1,0.10249309159398408,0.16475011990599603,0.06426418935211661,0.1609464943470956,-0.07648003749289022,-0.009703784380553273,0.046362273341349264,-0.07893273991773883,-0.05072795344157711,0.06934473865177268,0.06014663321295989,0.00039891809019609474,0.026714451851461367,0.1177064002552425,0.08668709324798159,-0.07126182289819043,-0.017435289532486024,-0.026110685671650542
IGHG1,0.2714209293261171,0.011507830734271082,0.06671587264141954,0.014329000320147809,0.15224812378445274,0.07333194663880281,-0.05275848268797568,-0.02005700078940276,-0.045783738731521646,-0.03309588233051067,-0.00011260674246936145,0.042570594031854946,0.04413990507885675,0.0009438319700190585,-0.03236920511293519,-0.04489590856797892,0.08434012632585729,1.7317568789749096e-05
SFTPA2,0.10018917305046683,-0.011932106641182747,0.11751687909038909,0.011503751460612551,-0.001548376824571594,0.07706601544959363,0.12716278072836584,0.06374782407166942,-0.13774512877867975,0.21246632633765206,0.1019450725367517,-0.0784744983969519,-0.07792351952996852,-0.13309997717252833,0.005041366415067761,-0.047822607706331566,-0.029196297335046608,0.03263751530685832
LCN2,0.24515700984799957,0.04966846526749077,-0.006444490162779115,0.12394360357167253,-0.06652495464824619,-0.04945894198593021,0.11745096464709624,0.020831339899611587,-0.018215971621717376,0.0065338743000644866,-0.011097972203478844,5.298292269233431e-05,0.0329227773848916,0.063378690109621,-0.12935785856819842,0.043096615212950655,0.02312360361360772,-0.07111410014438539
AZGP1,0.000884078465256337,0.10944348879047462,0.11459497317205446,0.05368693267212434,-0.15057587231678127,0.13915230186653774,-0.04390705132998054,0.1320546279155255,0.09749291462301256,0.022947023207734826,-0.09983213283574485,-0.030584352192478965,-0.14054765960118132,-0.0313707162814532,-0.03971867747816776,0.022663458660715764,0.016477817487176732,0.001542961254008428
