covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
MUT_SI,-0.04927803718119133,0.9519164247418351,0.05605240544039652,-0.1591387330912055,0.060582658728822826,0.8528780283558404,1.0624554151548777,0.0,-0.8791422383039612,0.37932415839504585,1.398496837974854
CNV_PC4,-0.05278730781429214,0.948581746952947,0.06187278046778984,-0.17405572915451353,0.06848111352592925,0.8402500699276317,1.0708803996050873,0.0,-0.8531588109535909,0.39357124133858534,1.3453032895913748
CNV_PC28,-0.08867795247248884,0.9151402447759953,0.05990844148543959,-0.20609634015387568,0.028740435208898005,0.8137546752557666,1.0291574267704753,0.0,-1.4802246607273455,0.13881330128869285,2.848782279249194
CNV_PC19,0.07916386917305222,1.0823816765287133,0.05926035283238592,-0.03698428808956036,0.1953120264356648,0.9636912766611341,1.2156902548128639,0.0,1.3358656401685982,0.1815931933971998,2.461217967347412
MUT_USH2A,0.08405418121752677,1.0876878244629629,0.057643354265448025,-0.028924717090834662,0.1970330795258882,0.9714895982768894,1.2177843237676966,0.0,1.4581764418228806,0.1447919155154041,2.787947043374006
MUT_RYR3,-0.039481414904588986,0.961287819450424,0.05785879075136687,-0.15288256096630723,0.07391973115712924,0.8582305056545692,1.0767203749288345,0.0,-0.6823753900120401,0.4950016131349051,1.0144948681639316
MUT_PKHD1L1,-0.015326305055376115,0.9847905450362465,0.05879489577093991,-0.13056218324120467,0.09990957313045244,0.8776019191201491,1.1050709854475764,0.0,-0.2606740747544845,0.7943438603522418,0.33216442979220895
CNV_PC5,-0.06337509385349765,0.9385913478076262,0.06310075708235778,-0.18705030513212964,0.06030011742513433,0.8294020121581311,1.0621552700204644,0.0,-1.0043475987266177,0.3152110982583198,1.6656097633914086
MUT_NAV3,-0.01364485168612267,0.98644781733879,0.05774709119254052,-0.12682707063545223,0.0995373672632069,0.880885990481233,1.1046597480802982,0.0,-0.2362863895711728,0.8132104475126212,0.298299344931196
MUT_IDH1,0.00020402776455689099,1.0002040485796369,0.05597097492865901,-0.1094970672752091,0.10990512280432287,0.8962847929148865,1.1161721661499817,0.0,0.0036452422852549233,0.9970915239014146,0.004202157948519661
MUT_LAMA2,0.005673243525605262,1.0056893668477462,0.058027008911534034,-0.10805760407158621,0.11940409112279673,0.8975758909153507,1.1268251663479736,0.0,0.0977690153606658,0.9221157116379263,0.11698029636750401
MUT_PEG3,0.046881257499145276,1.0479975598399498,0.053660789569302945,-0.05829195743867109,0.15205447243696163,0.943374482029187,1.164223652804411,0.0,0.8736594797696389,0.382303723883039,1.3872088418729809
CNV_PC22,-0.01362689972148914,0.9864655261740733,0.056422765543103146,-0.12421348809411885,0.09695968865114056,0.8831912699336802,1.1018159570383474,0.0,-0.24151421133512355,0.8091566033803377,0.30550914741682644
CNV_PC1,-0.042330196656211794,0.9585532172441494,0.061054845661169976,-0.16199549523375653,0.07733510192133294,0.8504450355876922,1.0804040612150372,0.0,-0.6933142848501738,0.48811234035752926,1.0347148687702752
MUT_DNAH11,-0.026037169723230058,0.9742988745161919,0.058935940619362207,-0.1415494907321712,0.08947515128571111,0.8680122159617474,1.0936001584168389,0.0,-0.4417876333117533,0.6586428883086413,0.6024316371059065
MUT_DNAH10,0.018012545367048587,1.0181757496981707,0.05984858862483574,-0.09928853286318302,0.1353136235972802,0.9054814091851592,1.1448957943889095,0.0,0.30096859058717734,0.763438445772679,0.38941625424825105
MUT_ANK2,0.03652118138638944,1.0371962730401028,0.05795257065983936,-0.07706376991840833,0.15010613269118722,0.9258308115686489,1.1619575578669454,0.0,0.6301908779984166,0.5285697067649795,0.9198343508618813
MUT_CUBN,-0.0029880042694910925,0.9970164553723507,0.05748321226188531,-0.11565303001845753,0.10967702147947533,0.8907842450768044,1.1159175948352555,0.0,-0.05198046789518602,0.9585442567323886,0.06108305110625555
EXPR_PC17,0.048969217645284224,1.0501880229822267,0.07703311935825907,-0.1020129219136788,0.19995135720424725,0.9030178828743524,1.221343347160243,0.0,0.635690441374214,0.5249782077957657,0.9296705581229022
MUT_CSMD1,0.09859164424280636,1.1036155397705747,0.05773590662679632,-0.014568653360481867,0.21175194184609458,0.9855369559858639,1.2358412865448822,0.0,1.707631351146881,0.08770476732500256,3.511200925106887
MUT_SACS,0.0502059401325109,1.051487617579354,0.058065904332747824,-0.06360114108942311,0.16401302135444493,0.9383792058057505,1.1782296571388178,0.0,0.8646371861325841,0.38723795565124053,1.3687077276412805
MUT_DNAH9,-0.01902940167760139,0.9811505143476186,0.05973368905777781,-0.1361052808945602,0.09804647753935743,0.8727507436727139,1.1030140492960698,0.0,-0.31857067557295976,0.7500520931924872,0.4149372966381
MUT_BRAF,-0.03948358445659593,0.9612857338887684,0.06449169643905596,-0.16588498677903568,0.08691781786584381,0.8471436613076955,1.0908070311847988,0.0,-0.6122274127787527,0.5403873071081428,0.8879343065805297
CNV_PC10,-0.0070297290578950275,0.9929949216909015,0.06117301727870413,-0.12692663974980156,0.1128671816340115,0.8807982858097286,1.1194832351398618,0.0,-0.11491551946616589,0.9085120838333479,0.13842239146758806
EXPR_PC22,0.07982631124915021,1.0830989292366004,0.06984832941085817,-0.057073898776421605,0.21672652127472203,0.9445242675997463,1.2420043939099585,0.0,1.1428521186183291,0.2530999953140717,1.9822206141490206
MUT_COL22A1,-0.07503419983715237,0.9277117581949529,0.05648294127129128,-0.1857387304697743,0.03567033079546955,0.8304905485144921,1.036314149309253,0.0,-1.3284400236304652,0.18403278478183052,2.441965294752415
MUT_AHNAK2,0.06171139919251646,1.0636553286408894,0.058880125217321166,-0.05369152563864164,0.17711432402367455,0.9477244100975465,1.1937675616371541,0.0,1.0480853932416978,0.2945992654242414,1.7631742618324233
